question,paper_id,answer_type,answer_string,prediction
How big is the ANTISCAM dataset? ,1911.10742,extractive," 3,044 sentences in 100 dialogs","  Based on the information provided in the context, the ANTISCAM dataset consists of 225 dialogs, each with at least three turns, for a total of 675 turns."
How big is the ANTISCAM dataset? ,1911.10742,extractive,220 human-human dialogs,"  Based on the information provided in the context, the ANTISCAM dataset consists of 225 dialogs, each with at least three turns, for a total of 675 turns."
How big is the ANTISCAM dataset? ,1911.10742,extractive,"220 human-human dialogs. , 3,044 sentences in 100 dialogs","  Based on the information provided in the context, the ANTISCAM dataset consists of 225 dialogs, each with at least three turns, for a total of 675 turns."
How big is the ANTISCAM dataset? ,1911.10742,extractive,220 human-human dialogs. The average conversation length is 12.45 turns and the average utterance length is 11.13 words. ,"  Based on the information provided in the context, the ANTISCAM dataset consists of 225 dialogs, each with at least three turns, for a total of 675 turns."
How big is the ANTISCAM dataset? ,1911.10742,extractive,220 human-human dialogs,"  Based on the information provided in the context, the ANTISCAM dataset consists of 225 dialogs, each with at least three turns, for a total of 675 turns."
How big is the ANTISCAM dataset? ,1911.10742,extractive,"3,044 sentences in 100 dialogs","  Based on the information provided in the context, the ANTISCAM dataset consists of 225 dialogs, each with at least three turns, for a total of 675 turns."
What is the accuracy of this model compared to sota?,1904.09131,none,Unacceptable,"  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific benchmark or comparison in the given text. However, I can provide some general information about the accuracy of entity linking models.

Entity linking is a challenging task due to the complexity of natural language and the variability of surface forms used to refer to entities. The accuracy of entity linking models can vary depending on the dataset and evaluation metric used. In general, the accuracy of entity linking models can range from 60% to 90%, with higher accuracy for models trained on larger and more diverse datasets.

It's worth noting that the accuracy of the model proposed in the context information, which uses a combination of local features and a Markov chain to propagate the features, is not specified. Therefore, it is not possible to compare the accuracy of this model to sota without additional information."
What is the accuracy of this model compared to sota?,1904.09131,abstractive,"The model improves the state of the art performance for the ISTEX dataset (F1 micro: 0.870, F1 macro: 0.858) and for the Microposts 2016 dataset (F1 micro:  0.087).","  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific benchmark or comparison in the given text. However, I can provide some general information about the accuracy of entity linking models.

Entity linking is a challenging task due to the complexity of natural language and the variability of surface forms used to refer to entities. The accuracy of entity linking models can vary depending on the dataset and evaluation metric used. In general, the accuracy of entity linking models can range from 60% to 90%, with higher accuracy for models trained on larger and more diverse datasets.

It's worth noting that the accuracy of the model proposed in the context information, which uses a combination of local features and a Markov chain to propagate the features, is not specified. Therefore, it is not possible to compare the accuracy of this model to sota without additional information."
What is the accuracy of this model compared to sota?,1904.09131,abstractive,"The micro and macro f1-scores of this model are 0.482 and 0.399 on the AIDA-CoNLL dataset, 0.087 and 0.515 on the Microposts 2016 dataset, 0.870 and 0.858 on the ISTEX-1000 dataset, 0.335 and 0.310 on the RSS-500 dataset","  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific benchmark or comparison in the given text. However, I can provide some general information about the accuracy of entity linking models.

Entity linking is a challenging task due to the complexity of natural language and the variability of surface forms used to refer to entities. The accuracy of entity linking models can vary depending on the dataset and evaluation metric used. In general, the accuracy of entity linking models can range from 60% to 90%, with higher accuracy for models trained on larger and more diverse datasets.

It's worth noting that the accuracy of the model proposed in the context information, which uses a combination of local features and a Markov chain to propagate the features, is not specified. Therefore, it is not possible to compare the accuracy of this model to sota without additional information."
What is the accuracy of this model compared to sota?,1904.09131,abstractive,The accuracy ,"  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific benchmark or comparison in the given text. However, I can provide some general information about the accuracy of entity linking models.

Entity linking is a challenging task due to the complexity of natural language and the variability of surface forms used to refer to entities. The accuracy of entity linking models can vary depending on the dataset and evaluation metric used. In general, the accuracy of entity linking models can range from 60% to 90%, with higher accuracy for models trained on larger and more diverse datasets.

It's worth noting that the accuracy of the model proposed in the context information, which uses a combination of local features and a Markov chain to propagate the features, is not specified. Therefore, it is not possible to compare the accuracy of this model to sota without additional information."
What is the accuracy of this model compared to sota?,1904.09131,none,Unacceptable,"  Based on the provided context information, I cannot compare the accuracy of the model to the state of the art (sota) as there is no mention of any specific benchmark or comparison in the given text. However, I can provide some general information about the accuracy of entity linking models.

Entity linking is a challenging task due to the complexity of natural language and the variability of surface forms used to refer to entities. The accuracy of entity linking models can vary depending on the dataset and evaluation metric used. In general, the accuracy of entity linking models can range from 60% to 90%, with higher accuracy for models trained on larger and more diverse datasets.

It's worth noting that the accuracy of the model proposed in the context information, which uses a combination of local features and a Markov chain to propagate the features, is not specified. Therefore, it is not possible to compare the accuracy of this model to sota without additional information."
What previous methods do they compare against?,1611.06322,extractive,"two state-of-the-art early rumour detection baselines Liu et. al (2015) and Yang et. al (2012), which we re-implemented., Yang et. al (2012), dubbed Yang, because they proposed a feature set for early detection tailored to Sina Weibo and were used as a state-of-the-art baseline before by Liu et. al (2015). The algorithm by Liu et. al (2015), dubbed Liu, is said to operate in real-time and outperformed Yang, when only considering features available on Twitter.","  Based on the provided context information, the previous methods that are compared against in the study are:

1. Yang (2012)
2. Liu et al. (2015)

These two methods are compared to the proposed approach in terms of their performance in detecting rumours quickly and accurately."
What previous methods do they compare against?,1611.06322,extractive,"Liu et. al (2015), Yang et. al (2012)","  Based on the provided context information, the previous methods that are compared against in the study are:

1. Yang (2012)
2. Liu et al. (2015)

These two methods are compared to the proposed approach in terms of their performance in detecting rumours quickly and accurately."
What previous methods do they compare against?,1611.06322,abstractive,"They compare against two other methods that apply message-,user-, topic- and propagation-based features and rely on an SVM classifier. One perform early rumor detection and operates with a delay of 24 hrs, while the other requires a cluster of 5 repeated messages to judge them for rumors.","  Based on the provided context information, the previous methods that are compared against in the study are:

1. Yang (2012)
2. Liu et al. (2015)

These two methods are compared to the proposed approach in terms of their performance in detecting rumours quickly and accurately."
What previous methods do they compare against?,1611.06322,extractive,"Liu et. al (2015) , Yang et. al (2012)","  Based on the provided context information, the previous methods that are compared against in the study are:

1. Yang (2012)
2. Liu et al. (2015)

These two methods are compared to the proposed approach in terms of their performance in detecting rumours quickly and accurately."
What previous methods do they compare against?,1611.06322,abstractive,Liu et al. (2015) and Yang et al. (2012),"  Based on the provided context information, the previous methods that are compared against in the study are:

1. Yang (2012)
2. Liu et al. (2015)

These two methods are compared to the proposed approach in terms of their performance in detecting rumours quickly and accurately."
What baselines did they compare with?,1604.02038,extractive,"LDA, Doc-NADE, HTMM, GMNTM","  Based on the provided context information, the authors compared the following baselines with their proposed method, SLRTM:

1. LDA (Latent Dirichlet Allocation) BIBREF2
2. Doc-NADE BIBREF24
3. HTMM BIBREF9
4. GMNTM BIBREF12"
What baselines did they compare with?,1604.02038,extractive,"LDA, Doc-NADE, HTMM, GMNTM","  Based on the provided context information, the authors compared the following baselines with their proposed method, SLRTM:

1. LDA (Latent Dirichlet Allocation) BIBREF2
2. Doc-NADE BIBREF24
3. HTMM BIBREF9
4. GMNTM BIBREF12"
What baselines did they compare with?,1604.02038,extractive,"LDA BIBREF2, Doc-NADE BIBREF24, HTMM BIBREF9, GMNTM BIBREF12","  Based on the provided context information, the authors compared the following baselines with their proposed method, SLRTM:

1. LDA (Latent Dirichlet Allocation) BIBREF2
2. Doc-NADE BIBREF24
3. HTMM BIBREF9
4. GMNTM BIBREF12"
What baselines did they compare with?,1604.02038,extractive,"LDA BIBREF2 , Doc-NADE BIBREF24, HTMM BIBREF9, GMNTM BIBREF12, LDA BIBREF2 , Doc-NADE BIBREF24, HTMM BIBREF9 , GMNTM BIBREF12","  Based on the provided context information, the authors compared the following baselines with their proposed method, SLRTM:

1. LDA (Latent Dirichlet Allocation) BIBREF2
2. Doc-NADE BIBREF24
3. HTMM BIBREF9
4. GMNTM BIBREF12"
Which NER dataset do they use?,1911.04474,extractive,"CoNLL2003, OntoNotes 5.0, OntoNotes 4.0., Chinese NER dataset MSRA, Weibo NER, Resume NER","  Based on the provided context information, the authors of the paper used the following NER datasets:

1. CoNLL2003
2. OntoNotes 5.0
3. BIBREF35 (OntoNotes 4.0 Chinese part)
4. MSRA (news domain)
5. Weibo NER (Sina Weibo social media)
6. Resume NER.

Therefore, the answer to your query is: ""They use CoNLL2003, OntoNotes 5.0, BIBREF35, MSRA, Weibo NER, and Resume NER."""
Which NER dataset do they use?,1911.04474,extractive,"CoNLL2003 , OntoNotes 5.0, OntoNotes 4.0, MSRA , Weibo, Resume ","  Based on the provided context information, the authors of the paper used the following NER datasets:

1. CoNLL2003
2. OntoNotes 5.0
3. BIBREF35 (OntoNotes 4.0 Chinese part)
4. MSRA (news domain)
5. Weibo NER (Sina Weibo social media)
6. Resume NER.

Therefore, the answer to your query is: ""They use CoNLL2003, OntoNotes 5.0, BIBREF35, MSRA, Weibo NER, and Resume NER."""
Which NER dataset do they use?,1911.04474,extractive,"CoNLL2003, OntoNotes 5.0, OntoNotes 4.0, MSRA, Weibo NER, Resume NER","  Based on the provided context information, the authors of the paper used the following NER datasets:

1. CoNLL2003
2. OntoNotes 5.0
3. BIBREF35 (OntoNotes 4.0 Chinese part)
4. MSRA (news domain)
5. Weibo NER (Sina Weibo social media)
6. Resume NER.

Therefore, the answer to your query is: ""They use CoNLL2003, OntoNotes 5.0, BIBREF35, MSRA, Weibo NER, and Resume NER."""
