question,paper_id,answer_type,answer_string,prediction
How big is the ANTISCAM dataset? ,1911.10742,extractive," 3,044 sentences in 100 dialogs","  Based on the provided context information, I can answer your query as follows:

The AntiScam dataset consists of 220 human-human dialogs, with an average conversation length of 12.45 turns and an average utterance length of 11.13 words."
How big is the ANTISCAM dataset? ,1911.10742,extractive,220 human-human dialogs,"  Based on the provided context information, I can answer your query as follows:

The AntiScam dataset consists of 220 human-human dialogs, with an average conversation length of 12.45 turns and an average utterance length of 11.13 words."
How big is the ANTISCAM dataset? ,1911.10742,extractive,"220 human-human dialogs. , 3,044 sentences in 100 dialogs","  Based on the provided context information, I can answer your query as follows:

The AntiScam dataset consists of 220 human-human dialogs, with an average conversation length of 12.45 turns and an average utterance length of 11.13 words."
How big is the ANTISCAM dataset? ,1911.10742,extractive,220 human-human dialogs. The average conversation length is 12.45 turns and the average utterance length is 11.13 words. ,"  Based on the provided context information, I can answer your query as follows:

The AntiScam dataset consists of 220 human-human dialogs, with an average conversation length of 12.45 turns and an average utterance length of 11.13 words."
How big is the ANTISCAM dataset? ,1911.10742,extractive,220 human-human dialogs,"  Based on the provided context information, I can answer your query as follows:

The AntiScam dataset consists of 220 human-human dialogs, with an average conversation length of 12.45 turns and an average utterance length of 11.13 words."
How big is the ANTISCAM dataset? ,1911.10742,extractive,"3,044 sentences in 100 dialogs","  Based on the provided context information, I can answer your query as follows:

The AntiScam dataset consists of 220 human-human dialogs, with an average conversation length of 12.45 turns and an average utterance length of 11.13 words."
How is intent annotated?,1911.10742,abstractive,using a role-playing task on the Amazon Mechanical Turk platform and collecting typed conversations,"  Based on the provided context information, I can answer your query about intent annotation. In the context of non-collaborative tasks, intent annotation involves identifying and categorizing the intents present in a given utterance or conversation turn. The hierarchical intent annotation scheme proposed in the context information separates on-task and off-task intents, with on-task intents being specific to each task and off-task intents being more general and common to all tasks.

On-task intents are key actions that vary among different tasks, and are specifically defined for each task. For example, in the AntiScam dataset, elicitation, providing information, and refusal are on-task intents. In the PersuasionForGood dataset, nine on-task intents are defined based on the original PersuasionForGood dialog act annotation scheme, all related to donation actions.

Off-task intents, on the other hand, are more general and common to all tasks, and include six general intents (open question, yes/no question, positive answer, negative answer, responsive statement, and non-responsive statement) and six additional social intents (greeting, closing,"
How is intent annotated?,1911.10742,abstractive,"Separate on-task and off task intents and annotate on task for data set specific intents, while annotating  off task intents with a fixed set of general intents.","  Based on the provided context information, I can answer your query about intent annotation. In the context of non-collaborative tasks, intent annotation involves identifying and categorizing the intents present in a given utterance or conversation turn. The hierarchical intent annotation scheme proposed in the context information separates on-task and off-task intents, with on-task intents being specific to each task and off-task intents being more general and common to all tasks.

On-task intents are key actions that vary among different tasks, and are specifically defined for each task. For example, in the AntiScam dataset, elicitation, providing information, and refusal are on-task intents. In the PersuasionForGood dataset, nine on-task intents are defined based on the original PersuasionForGood dialog act annotation scheme, all related to donation actions.

Off-task intents, on the other hand, are more general and common to all tasks, and include six general intents (open question, yes/no question, positive answer, negative answer, responsive statement, and non-responsive statement) and six additional social intents (greeting, closing,"
How is intent annotated?,1911.10742,abstractive,"On-task dialog are annotated as on-task intents , the other dialog are annotated as pre-defined off-task intents.","  Based on the provided context information, I can answer your query about intent annotation. In the context of non-collaborative tasks, intent annotation involves identifying and categorizing the intents present in a given utterance or conversation turn. The hierarchical intent annotation scheme proposed in the context information separates on-task and off-task intents, with on-task intents being specific to each task and off-task intents being more general and common to all tasks.

On-task intents are key actions that vary among different tasks, and are specifically defined for each task. For example, in the AntiScam dataset, elicitation, providing information, and refusal are on-task intents. In the PersuasionForGood dataset, nine on-task intents are defined based on the original PersuasionForGood dialog act annotation scheme, all related to donation actions.

Off-task intents, on the other hand, are more general and common to all tasks, and include six general intents (open question, yes/no question, positive answer, negative answer, responsive statement, and non-responsive statement) and six additional social intents (greeting, closing,"
How is intent annotated?,1911.10742,extractive,"separate on-task and off-task intents, on-task intents are key actions that can vary among different tasks, we need to specifically define on-task intents for each task, off-task content is too general to design task-specific intents, we choose common dialog acts as the categories","  Based on the provided context information, I can answer your query about intent annotation. In the context of non-collaborative tasks, intent annotation involves identifying and categorizing the intents present in a given utterance or conversation turn. The hierarchical intent annotation scheme proposed in the context information separates on-task and off-task intents, with on-task intents being specific to each task and off-task intents being more general and common to all tasks.

On-task intents are key actions that vary among different tasks, and are specifically defined for each task. For example, in the AntiScam dataset, elicitation, providing information, and refusal are on-task intents. In the PersuasionForGood dataset, nine on-task intents are defined based on the original PersuasionForGood dialog act annotation scheme, all related to donation actions.

Off-task intents, on the other hand, are more general and common to all tasks, and include six general intents (open question, yes/no question, positive answer, negative answer, responsive statement, and non-responsive statement) and six additional social intents (greeting, closing,"
How is intent annotated?,1911.10742,extractive,"we design a hierarchical intent annotation scheme for non-collaborative tasks. We first separate on-task and off-task intents. As on-task intents are key actions that can vary among different tasks, we need to specifically define on-task intents for each task. On the other hand, since off-task content is too general to design task-specific intents, we choose common dialog acts as the categories. , In the intent annotation scheme shown in Table TABREF2, we list the designed intent annotation scheme for the newly collected AntiScam dataset and the PersuasionForGood dataset. We first define on-task intents for the datasets, which are key actions in the task. Since our AntiScam focuses on understanding and reacting towards elicitations, we define elicitation, providing_information and refusal as on-task intents. In the PersuasionForGood dataset, we define nine on-task intents in Table TABREF2 based on the original PersuasionForGood dialog act annotation scheme, For specific tasks, we also design a semantic slot annotation scheme for annotating sentences based on their semantic content. We identify 13 main semantic slots in the anti-scam task, for example, credit card numbers. We present a detailed semantic slot annotation in Table TABREF3. Following BIBREF1, we segment each conversation turn into single sentences and then annotate each sentence rather than turns.","  Based on the provided context information, I can answer your query about intent annotation. In the context of non-collaborative tasks, intent annotation involves identifying and categorizing the intents present in a given utterance or conversation turn. The hierarchical intent annotation scheme proposed in the context information separates on-task and off-task intents, with on-task intents being specific to each task and off-task intents being more general and common to all tasks.

On-task intents are key actions that vary among different tasks, and are specifically defined for each task. For example, in the AntiScam dataset, elicitation, providing information, and refusal are on-task intents. In the PersuasionForGood dataset, nine on-task intents are defined based on the original PersuasionForGood dialog act annotation scheme, all related to donation actions.

Off-task intents, on the other hand, are more general and common to all tasks, and include six general intents (open question, yes/no question, positive answer, negative answer, responsive statement, and non-responsive statement) and six additional social intents (greeting, closing,"
How is intent annotated?,1911.10742,abstractive,using a hierarchical scheme where on-task intents uses task-related intents for representation and off-task intents chooses dialog acts that convey the syntax information,"  Based on the provided context information, I can answer your query about intent annotation. In the context of non-collaborative tasks, intent annotation involves identifying and categorizing the intents present in a given utterance or conversation turn. The hierarchical intent annotation scheme proposed in the context information separates on-task and off-task intents, with on-task intents being specific to each task and off-task intents being more general and common to all tasks.

On-task intents are key actions that vary among different tasks, and are specifically defined for each task. For example, in the AntiScam dataset, elicitation, providing information, and refusal are on-task intents. In the PersuasionForGood dataset, nine on-task intents are defined based on the original PersuasionForGood dialog act annotation scheme, all related to donation actions.

Off-task intents, on the other hand, are more general and common to all tasks, and include six general intents (open question, yes/no question, positive answer, negative answer, responsive statement, and non-responsive statement) and six additional social intents (greeting, closing,"
What are the baselines outperformed by this work?,1911.10742,abstractive,TransferTransfo and Hybrid ,"  Based on the provided context information, the baselines that have been outperformed by this work are:

1. TransferTransfo
2. Hybrid model

These baselines were compared to the proposed method (MISSA) on both the newly proposed AntiScam dataset and an existing PersuasionForGood dataset. The results show that MISSA outperforms these baselines on almost all metrics on both datasets, indicating that it is a more effective approach for non-collaborative dialog systems."
What are the baselines outperformed by this work?,1911.10742,extractive,"TransferTransfo,  hybrid model","  Based on the provided context information, the baselines that have been outperformed by this work are:

1. TransferTransfo
2. Hybrid model

These baselines were compared to the proposed method (MISSA) on both the newly proposed AntiScam dataset and an existing PersuasionForGood dataset. The results show that MISSA outperforms these baselines on almost all metrics on both datasets, indicating that it is a more effective approach for non-collaborative dialog systems."
What are the baselines outperformed by this work?,1911.10742,extractive,"TransferTransfo, Hybrid","  Based on the provided context information, the baselines that have been outperformed by this work are:

1. TransferTransfo
2. Hybrid model

These baselines were compared to the proposed method (MISSA) on both the newly proposed AntiScam dataset and an existing PersuasionForGood dataset. The results show that MISSA outperforms these baselines on almost all metrics on both datasets, indicating that it is a more effective approach for non-collaborative dialog systems."
What are the baselines outperformed by this work?,1911.10742,extractive,"TransferTransfo, Hybrid","  Based on the provided context information, the baselines that have been outperformed by this work are:

1. TransferTransfo
2. Hybrid model

These baselines were compared to the proposed method (MISSA) on both the newly proposed AntiScam dataset and an existing PersuasionForGood dataset. The results show that MISSA outperforms these baselines on almost all metrics on both datasets, indicating that it is a more effective approach for non-collaborative dialog systems."
What are the baselines outperformed by this work?,1911.10742,extractive,"TransferTransfo The vanilla TransferTransfo framework, Hybrid Following BIBREF4 yu2017learning, we also build a hybrid dialog system by combining vanilla TransferTransfo and MISSA","  Based on the provided context information, the baselines that have been outperformed by this work are:

1. TransferTransfo
2. Hybrid model

These baselines were compared to the proposed method (MISSA) on both the newly proposed AntiScam dataset and an existing PersuasionForGood dataset. The results show that MISSA outperforms these baselines on almost all metrics on both datasets, indicating that it is a more effective approach for non-collaborative dialog systems."
What are the baselines outperformed by this work?,1911.10742,extractive,"TransferTransfo, Hybrid","  Based on the provided context information, the baselines that have been outperformed by this work are:

1. TransferTransfo
2. Hybrid model

These baselines were compared to the proposed method (MISSA) on both the newly proposed AntiScam dataset and an existing PersuasionForGood dataset. The results show that MISSA outperforms these baselines on almost all metrics on both datasets, indicating that it is a more effective approach for non-collaborative dialog systems."
